id,tweet,cleanTweets
2919,Poll: Most uninsured still confused on Obamacare http://nbcnews.to/19HJeZu,poll most uninsured still confused on obamacare
2920,FDA adds most severe warning to Pfizer's Tygacil http://nbcnews.to/1fOl4S3,fda adds most severe warning to pfizers tygacil
2921,Still clueless over Obamacare? Dr. Nancy Snyderman answers your questions http://nbcnews.to/18uutuA,still clueless over obamacare dr nancy snyderman answers your questions
2922,Two weeks? More moms cut short maternity leave http://on.today.com/1976Lko,two weeks more moms cut shomaternity leave
2923,Obamacare glitches? Or par for the course? http://nbcnews.to/18t5Ah5,obamacare glitches or par for the course
2924,Colo. farmers arrested in fatal listeria outbreak http://nbcnews.to/16tS7JT,colo farmers arrested in fatal listeria outbreak
2925,Are healthy French fries for real? http://on.today.com/1dMdaXt,are healthy french fries for real
2926,Online enrollment for health exchanges delayed for small businesses http://nbcnews.to/1dM52pP,online enrollment for health exchanges delayed for small businesses
2927,Man's 'forehead nose' a common reconstruction technique http://nbcnews.to/1dLQGWp,mans forehead nose a common reconstruction technique
2928,Congressional panels agree on bill to regulate drug compounding http://nbcnews.to/1dLKGNm,congressional panels agree on bill to regulate drug compounding
2929,First mind-controlled bionic leg a 'groundbreaking' advance http://nbcnews.to/16Az75y,first mind controlled bionic leg a groundbreaking advance
2930,Computer snags delay parts of Obamacare in some states http://nbcnews.to/16Az5L8,computer snags delay parts of obamacare in some states
2931,Sunscreen for babies recalled: contamination http://nbcnews.to/1bG90Su,sunscreen for babies recalled contamination
2932,"Obamacare super-cheap for some, feds find http://nbcnews.to/1dHSGPz",obamacare super cheap for some feds find
2933,"Real-life 'Blue Man' dies after heart attack, stroke http://on.today.com/1bDMGZO",real life blue man dies after heaattack stroke
2934,Obamacare 'affordable?' Some say no http://nbcnews.to/18nwnva,obamacare affordable some say no
2935,New baby smell creates 'very strong' bond in our brains http://on.today.com/18nsQNu,nebaby smell creates very strong bond in our brains
2936,Why I'm doing IVF on live TV: One woman's fertility journey http://on.today.com/15oq746,why i am doing ivf on live tv one womans fertility journey
2937,"Doctors must warn about chemicals, health groups say http://nbcnews.to/1gUfxa9",doctors must warn about chemicals health groups say
2938,A one-third drop in new AIDS infections: UN report http://nbcnews.to/1gThzYf,a one third drop in neaids infections un repo
2939,NYT: Lower health insurance premiums to come at cost of fewer choices http://nbcnews.to/1gSWltx,nyt lower health insurance premiums to come at cost of fewer choices
2940,Why the cost of giving birth could make you cry like a baby http://on.today.com/19wc9hO,why the cost of giving birth could make you cry like a baby
2941,Researcher finds way to calm fears during sleep http://on.today.com/18OH47X,researcher finds way to calm fears during sleep
2942,"The 200-pound anorexic: Obese teens at risk for disorder, but it's often unrecognized http://on.today.com/15ilUiv",the number pound anorexic obese teens at risk for disorder but its often unrecognized
2943,Fatal brain disease confirmed; 15 possibly exposed http://nbcnews.to/17QxLr1,fatal brain disease confirmed number possibly exposed
2944,FDA requires tracking codes on medical implants http://nbcnews.to/1bwb4MU,fda requires tracking codes on medical implants
2945,Losing weight for baby: Mom's obesity linked to extreme preemies http://nbcnews.to/1bwb4MO,losing weight for baby moms obesity linked to extreme preemies
2946,High Court asked to review 'contraception mandate' http://nbcnews.to/1eW6iut,high couasked to revie contraception mandate
2947,"Animals repeatedly infected people with MERS, study suggests http://nbcnews.to/1eW2N7c",animals repeatedly infected people with mers study suggests
2948,VA: Aaron Alexis never sought mental health treatment http://nbcnews.to/1aNPPmP,va aaron alexis never sought mental health treatment
2949,Texas boy's death reignites debate over EpiPens in schools http://on.today.com/1eqiL8E,texas boys death reignites debate over epipens in schools
2950,"Cat poop parasite controls minds early -- and permanently, study finds http://nbcnews.to/1eqbPbs",cat poop parasite controls minds early and permanently study finds
2951,E-readers may help dyslexics read more easily http://on.today.com/1dpYw86,e readers may help dyslexics read more easily
2952,"Expect bump in health spending next year, federal government forecasts http://nbcnews.to/1dpV1OK",expect bump in health spending next year federal government forecasts
2953,"It's never too early for Botox, doctor says http://on.today.com/1dpRlwz",its never too early for botox doctor says
2954,America's sneeziest cities: 15 worst U.S. cities for fall allergies http://on.today.com/188nTK6,americas sneeziest cities number worst us cities for fall allergies
2955,NYT: Patients fear drug cost spikes under health law http://nbcnews.to/1aRrVui,nyt patients fear drug cost spikes under health la
2956,Texas boy dies from attack by ants during game http://nbcnews.to/189LMzc,texas boy dies from attack by ants during game
2957,Not a diagnosis: Voices in head more common than thought http://nbcnews.to/189LKHm,not a diagnosis voices in head more common than thought
2958,Deadly brain amoeba in drinking water may be tied to Katrina http://nbcnews.to/189mlOc,deadly brain amoeba in drinking water may be tied to katrina
2959,Pennsylvania proposes alternative to expansion of Medicaid http://nbcnews.to/167uWVy,pennsylvania proposes alternative to expansion of medicaid
2960,Lost your job? Health exchanges offer options beyond COBRA http://nbcnews.to/167uYNh,lost your job health exchanges offer options beyond cobra
2961,Cancer patient featured in stark CDC anti-smoking ads dies http://nbcnews.to/187PCZm,cancer patient featured in stark cdc anti smoking ads dies
2962,"Healthy diet may reverse aging, study finds http://on.today.com/181WjOG",healthy diet may reverse aging study finds
2963,Chobani yogurt plant inspection yields no FDA report http://nbcnews.to/181UdhR,chobani yoguplant inspection yields no fda repo
2964,Unfounded fears may prompt young cancer patients to remove healthy breasts http://nbcnews.to/181Gbwu,unfounded fears may prompt young cancer patients to remove healthy breasts
2965,Investors see 4 million signing up for Obamacare in 2014: survey http://nbcnews.to/181E7oj,investors see number million signing up for obamacare in number survey
2966,Extreme binge drinking among high school seniors holding steady http://nbcnews.to/15ygx2a,extreme binge drinking among high school seniors holding steady
2967,"23,000 killed by superbugs in US each year, CDC says http://nbcnews.to/181DdIp",number killed by superbugs in us each year cdc says
2968,Deadly amoeba infects drinking water system http://nbcnews.to/181DdIi,deadly amoeba infects drinking water system
2969,Looking for lessons in cancer's 'miracle' responders http://nbcnews.to/18rwVnr,looking for lessons in cancers miracle responders
2970,NBC/WSJ Poll: Health care remains a tough sell http://nbcnews.to/1aEOTkL,nbc wsj poll health care remains a tough sell
2971,"Exercise, diet habits improving among youth: study http://nbcnews.to/1aEIOow",exercise diet habits improving among youth study
2972,"America's favorite age? It's 50, new poll says http://on.today.com/1eRLQIP",americas favorite age its number nepoll says
2973,Why being the 'world's loudest stadium' is a bad idea http://nbcnews.to/192QBsJ,why being the worlds loudest stadium is a bad idea
2974,High in cars: More high school seniors hit the road after smoking pot http://nbcnews.to/1aFNCgL,high in cars more high school seniors hit the road after smoking pot
2975,Child abuse down but neglect is up http://nbcnews.to/19LYlBH,child abuse down but neglect is up
2976,Applying for health insurance? Expect homework http://nbcnews.to/1821dqQ,applying for health insurance expect homework
2977,"My colleague Bill Dedman on The Daily Show last night talking about his fascinating new book ""Empty Mansions."" http://www.thedailyshow.com/watch/tue-september-10-2013/bill-dedman",my colleague bill dedman on the daily sholast night talking about his fascinating nebook empty mansions
2978,"Men need 'female' hormone for sex drive, fat control: study http://nbcnews.to/181NPTH",men need female hormone for sex drive fat control study
2979,Tingly lips? Why Sichuan peppers cause odd sensation http://on.today.com/181nJjE,tingly lips why sichuan peppers cause odd sensation
2980,Deadly fungal disease detected outside the Pacific Northwest http://nbcnews.to/18UEPR7,deadly fungal disease detected outside the pacific northwest
2981,Vegas mom gives birth to quintuplets  http://on.today.com/18Uzsl0,vegas mom gives birth to quintuplets
2982,Jenna Wolfe's mother trip: Tiny baby Harper brings big surprises http://on.today.com/18Ug4Vh,jenna wolfes mother trip tiny baby harper brings big surprises
2983,Opinion: Gifts from patients raise thorny ethical issues http://nbcnews.to/17YS2HF,opinion gifts from patients raise thorny ethical issues
2984,"Drop the cookie! Sweet, starchy foods 'probably' cause women’s cancer http://on.today.com/1fX00G9",drop the cookie sweet starchy foods probably cause women s cancer
2985,Prescription painkillers to get tougher warning labels  http://nbcnews.to/17nSt1c,prescription painkillers to get tougher warning labels
2986,"US cancer care in crisis, experts say http://nbcnews.to/17nMs4B",us cancer care in crisis experts say
2987,FDA receives 89 reports of illness from yogurt http://nbcnews.to/13GNZT1,fda receives number reports of illness from yogu
2988,The 'Rice Diet' tries for a comeback in low-carb world http://on.today.com/15Nbhny,the rice diet tries for a comeback in lo carb world
2989,"New Medicaid patients may be younger than states feared, study finds http://nbcnews.to/14zPkxB",nemedicaid patients may be younger than states feared study finds
2990,"Aw, nuts! Nurturing dads have smaller testicles, study shows http://nbcnews.to/14ztAlj",a nuts nurturing dads have smaller testicles study shows
2991,"5 percent of US kids, teens are 'severely obese' http://nbcnews.to/14zBmM6",number percent of us kids teens are severely obese
2992,"Graphic anti-smoking ads helped 100,000 kick the habit for good, CDC says http://nbcnews.to/14yRPA4",graphic anti smoking ads helped number kick the habit for good cdc says
2993,"Mammogram wars: Screen early, report urges http://nbcnews.to/17KcDDx",mammogram wars screen early repourges
2994,15 patients in 3 states possibly exposed to fatal brain disease http://nbcnews.to/14BbUAx,number patients in number states possibly exposed to fatal brain disease
2995,E-cigarettes as good as patches in helping smokers quit http://nbcnews.to/14BbSIL,e cigarettes as good as patches in helping smokers quit
2996,"Arsenic levels in rice too low for short-term risk, FDA says http://nbcnews.to/15BszE7",arsenic levels in rice too lofor sho term risk fda says
2997,Whooping cough reaches epidemic level in Texas - official http://nbcnews.to/15BdT81,whooping cough reaches epidemic level in texas official
2998,How Down syndrome may help unravel Alzheimer's puzzle http://nbcnews.to/15BcqyH,hodown syndrome may help unravel alzheimers puzzle
2999,"Teen birth rate hits historic low, federal report finds http://nbcnews.to/13m8GTX",teen birth rate hits historic lo federal repofinds
3000,"Number of students who've tried e-cigarettes has doubled, CDC says http://nbcnews.to/17HIbrK",number of students who have tried e cigarettes has doubled cdc says
3001,"Plenty of options under health care law, studies http://nbcnews.to/17SitVs",plenty of options under health care la studies
3002,"Alzheimer’s extracts a high price on caregivers, too http://nbcnews.to/18FF6HK",alzheimer s extracts a high price on caregivers too
3003,Chobani officially recalls moldy yogurt after complaints http://nbcnews.to/17Sis3J,chobani officially recalls moldy yoguafter complaints
3004,8 patients possibly exposed to rare and fatal brain disease at N.H. hospital http://nbcnews.to/14kiUqw,number patients possibly exposed to rare and fatal brain disease at nh hospital
3005,Unraveling Alzheimer's mysteries in search of new treatment http://nbcnews.to/1dMWO4j,unraveling alzheimers mysteries in search of netreatment
3006,Brain over brawn: Why Diana Nyad’s success is all in her head http://nbcnews.to/1dMKUY4,brain over brawn why diana nyad s success is all in her head
3007,"200,000 die a year from preventable heart disease, stroke http://nbcnews.to/1ebr7PN",number die a year from preventable headisease stroke
3008,Do you have questions about the role diet and exercise may play in Alzheimer's? Send them to #AgeofAlz and they may be answered on air.,do you have questions about the role diet and exercise may play in alzheimers send them to ageof alz and they may be answered on air
3009,Alzheimer's patients mentor med students in buddy program http://nbcnews.to/1eatfqU,alzheimers patients mentor med students in buddy program
3010,Life expectancy gap growing between rich/poor world women: WHO http://nbcnews.to/1eaqciv,life expectancy gap growing between rich poor world women who
3011,"Hospital to home focus may reduce readmissions, study finds http://nbcnews.to/1dIfBxC",hospital to home focus may reduce readmissions study finds
3012,"Get your kids their flu vaccines now, pediatricians advise http://nbcnews.to/17CqAFk",get your kids their flu vaccines no pediatricians advise
3013,How has Alzheimer’s impacted your family? Share your stories #AgeofAlz,hohas alzheimer s impacted your family share your stories ageof alz
3014,"Every minute of physical activity really does count, study shows http://on.today.com/17Ab64E",every minute of physical activity really does count study shows
3015,Nursing shortage starts in the classroom http://nbcnews.to/17pTKFH,nursing shortage starts in the classroom
3016,Opinion: Prayer no substitue for vaccination http://nbcnews.to/17pSkuQ,opinion prayer no substitue for vaccination
3017,Measles outbreak raises vaccine refusal fears http://nbcnews.to/17pRy10,measles outbreak raises vaccine refusal fears
3018,How can you cut your risk of Alzheimer's? Ask @DrNancyNBCNEWS and @mariashriver using the hashtag #AgeofAlz.,hocan you cut your risk of alzheimers ask and using the hashtag ageof alz
3019,Haters gonna hate? Why some people are such downers http://on.today.com/195Fdyj,haters gonna hate why some people are such downers
3020,"Despite warnings of head injuries, youth football still thrives http://on.today.com/173ruEO",despite warnings of head injuries youth football still thrives
3021,Head injuries clearly linked to brain damage http://nbcnews.to/143cQ5A,head injuries clearly linked to brain damage
3022,Teen 'essentially a vegetable' after breast surgery http://bit.ly/1a1gEqQ,teen essentially a vegetable after breast surgery
3023,You're in my space! Anxious types need more room http://nbcnews.to/1dspUpg,you are in my space anxious types need more room
3024,Sleepless in the states: Nearly 9 million pop pills for shut-eye http://nbcnews.to/1dspShb,sleepless in the states nearly number million pop pills for shut eye
3025,Mini human brains grown from stem cells http://nbcnews.to/17hQUo5,mini human brains grown from stem cells
3026,"Pot most popular illegal drug, first global survey finds http://nbcnews.to/17hOzJX",pot most popular illegal drug first global survey finds
3027,Can't remember anything? There may be hope for you http://nbcnews.to/17hOyFI,can not remember anything there may be hope for you
3028,Died of a broken heart? The science behind close couple deaths http://on.today.com/1905fD5,died of a broken hea the science behind close couple deaths
3029,163 new cholera cases in Cuba http://nbcnews.to/15eZNit,number necholera cases in cuba
3030,Parasite mystery continues; Texas cases not linked to bagged salad http://nbcnews.to/15eZN21,parasite mystery continues texas cases not linked to bagged salad
3031,Farm linked to parasite infections back in business http://nbcnews.to/17c4Pw0,farm linked to parasite infections back in business
3032,11-year-old lung transplant patient is home http://nbcnews.to/17c2XDo,number year old lung transplant patient is home
3033,Measles outbreak tied to Texas megachurch sickens 21 http://nbcnews.to/14z6CsH,measles outbreak tied to texas megachurch sickens number
3034,"Many medicines safe during breastfeeding, pediatricians panel says http://nbcnews.to/18WaMuf",many medicines safe during breastfeeding pediatricians panel says
3035,11-year-old lung transplant patient on her way home http://nbcnews.to/18VQ4uI,number year old lung transplant patient on her way home
3036,"Unborn babies are hearing you, loud and clear http://on.today.com/18Wj3hQ",unborn babies are hearing you loud and clear
3037,"This one’s not for you, seniors http://nbcnews.to/18VMssE",this one s not for you seniors
3038,New ovarian cancer test may detect early disease http://nbcnews.to/1djc08V,neovarian cancer test may detect early disease
3039,Study: Preschoolers who stutter do just fine http://on.today.com/19TUFSu,study preschoolers who stutter do just fine
3040,How to have more energy all day long http://on.today.com/18daQDM,hoto have more energy all day long
3041,Joe Biden says son Beau is doing 'fine' http://nbcnews.to/17QZHcQ,joe biden says son beau is doing fine
3042,Cuba still battling cholera a year after first cases reported http://nbcnews.to/17R4BXl,cuba still battling cholera a year after first cases reported
3043,Ohio hospital: Force Amish girl to have chemo http://nbcnews.to/17R4zP2,ohio hospital force amish girl to have chemo
3044,LA porn sets closed after actress tests positive for HIV http://nbcnews.to/15hu4uc,la porn sets closed after actress tests positive for hiv
3045,"Surgery to remove half the brain stops seizures, boosts function, study finds http://on.today.com/16CQiGN",surgery to remove half the brain stops seizures boosts function study finds
3046,Transgender inmates: Hormones are life and death http://nbcnews.to/16TVWqD,transgender inmates hormones are life and death
3047,UPS takes spouses off insurance; blames Obamacare http://nbcnews.to/17N6HaF,ups takes spouses off insurance blames obamacare
3048,CVS tracks docs and painkiller prescriptions http://nbcnews.to/176bqpJ,cvs tracks docs and painkiller prescriptions
3049,Beginning gender change in prison is a long shot http://nbcnews.to/17657mf,beginning gender change in prison is a long shot
3050,Baby circumcisions in US hospitals on 3-decade decline http://nbcnews.to/15bCzaa,baby circumcisions in us hospitals on number decade decline
3051,Tobacco plants plus antibodies equal possible treatment for Ebola http://nbcnews.to/1d2qV7p,tobacco plants plus antibodies equal possible treatment for ebola
3052,Beau Biden in Texas hospital for tests http://on.today.com/16M5B2B,beau biden in texas hospital for tests
3053,Salmonella outbreak traced to chick hatchery http://nbcnews.to/1d4FhmL,salmonella outbreak traced to chick hatchery
3054,Boredom blamed for murders: A true killing impulse? http://nbcnews.to/1d4AT7b,boredom blamed for murders a true killing impulse
3055,"Health insurance now costs $16,000 for average family http://nbcnews.to/1d4AS3j",health insurance nocosts money for average family
3056,"Even Republican young adults want health insurance, poll finds http://nbcnews.to/1d4AS3h",even republican young adults want health insurance poll finds
3057,Plastic surgeon charged in liposuction death http://bit.ly/171OTZn,plastic surgeon charged in liposuction death
3058,Pasty versus crispy: Too many high school girls use tanning booths http://nbcnews.to/1bNpuFP,pasty versus crispy too many high school girls use tanning booths
3059,"Lyme disease infects 300,000 a year, CDC says http://nbcnews.to/1bMROYR",lyme disease infects number a year cdc says
3060,Opinion: Medical 'pot for tots' no different than any other potent drug http://nbcnews.to/14VtxAF,opinion medical pot for tots no different than any other potent drug
3061,Bolivian says ancient Andean diet kept him alive 123 years http://nbcnews.to/1cXsHpp,bolivian says ancient andean diet kept him alive number years
3062,NJ to allow medical marijuana for kids. Is it safe? http://nbcnews.to/17Wkcnj,nj to allomedical marijuana for kids is it safe
3063,"Mom, daughter face double cancer diagnosis together http://on.today.com/14neERq",mom daughter face double cancer diagnosis together
3064,4 daily cups of coffee bad for men? Dr. Nancy Snyderman questions study http://on.today.com/1ePP3Wr,number daily cups of coffee bad for men dr nancy snyderman questions study
3065,"Iowa woman tries 'tapeworm diet', prompts doctor warning http://on.today.com/19yhzii",iowa woman tries tapeworm diet prompts doctor warning
3066,Heavy burden: Obesity may be even deadlier than thought http://nbcnews.to/129RnVw,heavy burden obesity may be even deadlier than thought
3067,Big baby boom: Super-size deliveries have doctors worried http://nbcnews.to/129RnVs,big baby boom super size deliveries have doctors worried
3068,Dry pet foods recalled over salmonella fears http://nbcnews.to/1cQdzKc,dry pet foods recalled over salmonella fears
3069,Budweiser most popular beer among injured ER patients http://nbcnews.to/17sckuK,budweiser most popular beer among injured er patients
3070,Drug can safely cut prostate cancer risk http://nbcnews.to/17sckuE,drug can safely cut prostate cancer risk
3071,"For teen boys, sexting may be a cry for love http://nbcnews.to/1eLyWJi",for teen boys sexting may be a cry for love
3072,"Amid falling sales, Coke launches campaign to defend sweetener http://nbcnews.to/16QnfAh",amid falling sales coke launches campaign to defend sweetener
3073,New tool peeks into brain to measure consciousness http://nbcnews.to/14yOQkE,netool peeks into brain to measure consciousness
3074,"Girl recovering from rare, deadly brain-eating amoeba as boy clings to life http://nbcnews.to/1cBQBYa",girl recovering from rare deadly brain eating amoeba as boy clings to life
3075,"Fertility crisis myth? Rates unchanged, even though more waiting to have kids http://nbcnews.to/13z3dGg",fertility crisis myth rates unchanged even though more waiting to have kids
3076,Teen's death raises new concern about Tasers http://nbcnews.to/1bt2LP2,teens death raises neconcern about tasers
3077,'Fitspo' on social media may fuel unhealthy fitness obsession http://on.today.com/17La8gU,fitspo on social media may fuel unhealthy fitness obsession
3078,Company suspends bagged salads linked to parasite infections http://nbcnews.to/16LHyyN,company suspends bagged salads linked to parasite infections
3079,Brain scans reveal which 'vegetative' patients are trapped in bodies http://nbcnews.to/16LH0cd,brain scans reveal which vegetative patients are trapped in bodies
3080,Near-death experiences may be surging brain activity http://nbcnews.to/165aReM,near death experiences may be surging brain activity
3081,"Grandparents, grandkids protect each other's mental health http://nbcnews.to/169Ixu5",grandparents grandkids protect each others mental health
3082,Chronic stomach pain in kids linked to later anxiety http://nbcnews.to/19XR5Gb,chronic stomach pain in kids linked to later anxiety
3083,Texas pharmacy recalls products after infections http://nbcnews.to/17Hf0Ua,texas pharmacy recalls products after infections
3084,New Zealand's solution for rising health costs? Deport fat people http://nbcnews.to/161dqyn,nezealands solution for rising health costs depofat people
3085,Down syndrome 'cure' prompts soul-searching http://nbcnews.to/1bm3Ic5,down syndrome cure prompts soul searching
3086,S. Africa 'turns corner' on HIV/AIDS; still long way to go http://nbcnews.to/1cTafwv,s africa turns corner on hiv aids still long way to go
3087,"Men drink less when they pay more for cigarettes, study finds http://nbcnews.to/14CRAEA",men drink less when they pay more for cigarettes study finds
3088,Dogs sniff out ovarian cancer in new study http://nbcnews.to/11S8N9a,dogs sniff out ovarian cancer in nestudy
3089,In defense of sleeping solo: 60 percent of you prefer your own bed http://on.today.com/14Cq0qX,in defense of sleeping solo number percent of you prefer your own bed
3090,Bracing for Obamacare: Nurse practitioners fill doc shortage gap http://nbcnews.to/14CluJ1,bracing for obamacare nurse practitioners fill doc shortage gap
3091,ER visits tied to ADHD drugs quadrupled in 6 years http://nbcnews.to/14CfiR7,er visits tied to adhd drugs quadrupled in number years
3092,Camels eyed as source of deadly MERS outbreak http://nbcnews.to/15j2bO8,camels eyed as source of deadly mers outbreak
3093,Parasite infections top 500; source questions linger http://nbcnews.to/13JMC6k,parasite infections top number source questions linger
3094,13-pound baby's mom: Didn't think she'd be 'that big' http://nbcnews.to/1beJssB,number pound babys mom did not think she d be that big
3095,Secondhand smoke exposure drops — except among kids with asthma http://nbcnews.to/131VmGc,secondhand smoke exposure drops except among kids with asthma
3096,High blood sugar linked to dementia risk http://nbcnews.to/17ynD3f,high blood sugar linked to dementia risk
3097,Chocolate may boost brain power for some -- but darker isn't better http://on.today.com/13ksZxP,chocolate may boost brain power for some but darker is not better
3098,Easier-to-spread new bird flu strain planned in the lab http://nbcnews.to/16zTwvm,easier to spread nebird flu strain planned in the lab
3099,"NIH finally makes good with Henrietta Lacks' family -- and it's about time, ethicist says http://nbcnews.to/16zTxzg",nih finally makes good with henrietta lacks family and its about time ethicist says
3100,H7N9 bird flu in likely China spread between people http://nbcnews.to/15HFV6w,h7n9 bird flu in likely china spread between people
3101,Bush's blocked artery  a reminder that even fit folks can be at risk http://nbcnews.to/15Hd7Lo,bushs blocked artery a reminder that even fit folks can be at risk
3102,"Live to 120? Most say 'no thanks', poll finds http://nbcnews.to/17vIe8s",live to number most say no thanks poll finds
3103,Obesity declining among low-income preschoolers http://nbcnews.to/17vFhER,obesity declining among lo income preschoolers
3104,"Your love of spicy foods means you're a risk-taker, new study says http://nbcnews.to/19KFfPq",your love of spicy foods means you are a risk taker nestudy says
3105,Lab-grown beef: Will vegetarians eat it? http://nbcnews.to/13GH6gV,lab grown beef will vegetarians eat it
3106,China halts NZ milk powder imports for botulism http://nbcnews.to/1832sIP,china halts nz milk powder imports for botulism
3107,Naked truth: Aging nudists seek new skin in the game as ranks dwindle http://nbcnews.to/1cnpajG,naked truth aging nudists seek neskin in the game as ranks dwindle
3108,Botulism signs in New Zealand dairy giant's products http://nbcnews.to/13CBYKL,botulism signs in nezealand dairy giants products
3109,FDA names Taylor Farms as source in parasite outbreak http://nbcnews.to/17pgPoH,fda names taylor farms as source in parasite outbreak
3110,"Gun suicides up, murders down in U.S. cities http://nbcnews.to/14IrzMU",gun suicides up murders down in us cities
3111,Ground beef recalled after E. coli found http://nbcnews.to/15g2gIk,ground beef recalled after e coli found
3112,"First aid for snakebite could come in a nasal spray, researcher says   http://nbcnews.to/16IFQfh",first aid for snakebite could come in a nasal spray researcher says
3113,Addictive gaming more common with autism and ADHD http://nbcnews.to/17UEWO0,addictive gaming more common with autism and adhd
3114,FDA warns of massive diabetes test strip recall http://nbcnews.to/19yavBl,fda warns of massive diabetes test strip recall
3115,Bagged salad mystery leaves diners uncertain: Wash or not? http://nbcnews.to/133pITC,bagged salad mystery leaves diners uncertain wash or not
3116,"Girls commit dating violence as often as boys, studies show http://nbcnews.to/1bL027a",girls commit dating violence as often as boys studies sho
3117,"Top-rated hospitals aren’t always tops, new report finds http://nbcnews.to/14BX4Z5",top rated hospitals aren t always tops nerepofinds
3118,Singing 'Happy Birthday' makes the cake taste better http://nbcnews.to/13WIGOV,singing happy birthday makes the cake taste better
3119,Rep. Herrera Beutler's baby defies odds of rare condition http://on.today.com/14A4oUP,rep herrera beutlers baby defies odds of rare condition
3120,"Decades later, hair-raising photo still a reminder of lightning danger http://nbcnews.to/14xX5go",decades later hair raising photo still a reminder of lightning danger
3121,Study: Teens have high failure rates after organ transplants http://nbcnews.to/13tzFZA,study teens have high failure rates after organ transplants
3122,"More people using prescription narcotics for back pain, study finds http://nbcnews.to/13tzxch",more people using prescription narcotics for back pain study finds
3123,White House: Health reform hasn't hurt jobs http://nbcnews.to/13tzo8P,white house health reform has not hujobs
3124,"9 million smokers should get yearly lung screening, task force says http://nbcnews.to/15rN6NL",number million smokers should get yearly lung screening task force says
3125,Cases top 350 in parasite outbreak; source remains mystery http://nbcnews.to/11qplEM,cases top number in parasite outbreak source remains mystery
3126,FDA strengthens warnings on malaria drug http://nbcnews.to/11q9x54,fda strengthens warnings on malaria drug
3127,"34 kids a day seen in ER for choking on food, study finds http://nbcnews.to/1e57vtG",number kids a day seen in er for choking on food study finds
3128,'It made me feel ashamed': Poor moms anguish over diaper costs http://nbcnews.to/12wH40b,it made me feel ashamed poor moms anguish over diaper costs
3129,"Bioethicist: Failed search for controversial cells shows danger of mixing science, religion http://nbcnews.to/1c3q3Of",bioethicist failed search for controversial cells shows danger of mixing science religion
3130,FDA warns of steroids in vitamin B supplement http://nbcnews.to/148YRvF,fda warns of steroids in vitamin b supplement
3131,FDA issues new proposals for safer imported foods http://nbcnews.to/148YMbc,fda issues neproposals for safer imported foods
3132,"Blood pressure drugs may help Alzheimer’s, study suggests http://nbcnews.to/1681lbq",blood pressure drugs may help alzheimer s study suggests
3133,"Virginia Johnson, Masters' collaborator in sex research, dies and 88 http://nbcnews.to/1c702fC",virginia johnson masters collaborator in sex research dies and number
3134,"US kids missing out on HPV vaccine, CDC and doctors say http://nbcnews.to/15itzPv",us kids missing out on hpv vaccine cdc and doctors say
3135,"Taller women more likely to get cancer, large study finds http://nbcnews.to/15inOS6",taller women more likely to get cancer large study finds
3136,New blood test might predict sepsis deaths http://nbcnews.to/12LQjnV,neblood test might predict sepsis deaths
3137,"Obamacare won't kill jobs, slash hours, report finds http://nbcnews.to/14HRlGX",obamacare will not kill jobs slash hours repofinds
3138,Study: Organ donor with rabies had 2 raccoon bites http://nbcnews.to/14HgjpR,study organ donor with rabies had number raccoon bites
3139,Why breast cancer kills more black women: They’re sicker http://nbcnews.to/18Bcm91,why breast cancer kills more black women they re sicker
3140,Illegal diabetes products draw 15 FDA warnings http://nbcnews.to/15dpMTR,illegal diabetes products dranumber fda warnings
3141,Parasite sickens 250 in Midwest; fresh produce suspected http://nbcnews.to/1dQyGbI,parasite sickens number in midwest fresh produce suspected
3142,How many die on roller coasters? No one knows http://nbcnews.to/1dQpyDT,homany die on roller coasters no one knows
3143,Gulp! Teen boys inhale homemade blowdarts http://nbcnews.to/15YUtL7,gulp teen boys inhale homemade blowdarts
3144,Falling TVs send a kid to the ER every 30 minutes http://on.today.com/15YTNFC,falling tvs send a kid to the er every number minutes
3145,Why women are terrible at accepting compliments http://on.today.com/128VHXn,why women are terrible at accepting compliments
3146,"Hey, Duchess Kate: Here's how you induce labor http://on.today.com/1aZkZLi",hey duchess kate heres hoyou induce labor
3147,"'Beware of this kid': Parent, daycare spat goes public online http://on.today.com/1aZ37jN",beware of this kid parent daycare spat goes public online
3148,"Live liver donors could ease U.S. organ shortage crisis, adopted siblings show http://nbcnews.to/1aYSbTb",live liver donors could ease us organ shortage crisis adopted siblings sho
3149,Heat wave spurs many to seek relief in ER http://nbcnews.to/12NlqmL,heat wave spurs many to seek relief in er
3150,"Diners ignore calorie posts on menus, study shows http://on.today.com/15MfKaP",diners ignore calorie posts on menus study shows
3151,"Homicide 'directly affecting' racial gap in U.S. life expectancy, study shows http://nbcnews.to/18mSPFy",homicide directly affecting racial gap in us life expectancy study shows
3152,"Long-distance love may be stronger than you think, new study says http://on.today.com/18mD2GQ",long distance love may be stronger than you think nestudy says
3153,"If you think you have Alzheimer's, you just might, studies suggest http://nbcnews.to/17m7NdX",if you think you have alzheimers you just might studies suggest
3154,Opinion: Ease blood shortages; lift gay ban http://nbcnews.to/17m7LTn,opinion ease blood shortages lift gay ban
3155,Noises in her head were flesh-eating maggots http://nbcnews.to/15N6uFw,noises in her head were flesh eating maggots
3156,Heat wave has people keeping cool...by any means necessary http://on.today.com/15MGzhc,heat wave has people keeping cool by any means necessary
3157,'Glee' star's OD shows the new face of heroin http://nbcnews.to/16IyCqk,glee stars od shows the neface of heroin
